region,category,name,query,score,blog_mentions,instagram_mentions,cafe_mentions,facebook_mentions,address,category_hint,source,source_url,collected_at
가평,affordable_stays,W지우리조트,가평 W지우리조트,100,1354,0,303,0,경기도 가평군 가평읍 북한강변로 970-9 W지우리조트,"숙박>콘도,리조트",naver_search_api,http://www.wjiwooresort.com,2026-05-22T05:48:35+00:00
가평,affordable_stays,은하눌풀빌라,가평 은하눌풀빌라,100,110,0,28,0,경기도 가평군 북면 꽃넘이길 71-1 은하눌풀빌라,숙박>펜션,naver_search_api,http://eunhanul.staynt.co.kr,2026-05-22T05:48:35+00:00
가평,affordable_stays,파인트리키즈풀빌라,가평 파인트리키즈풀빌라,100,2785,0,1465,0,경기도 가평군 상면 축령로45번길 62-29 파인트리키즈풀빌라,숙박>펜션,naver_search_api,http://pinetreekids.co.kr,2026-05-22T05:48:35+00:00
가평,affordable_stays,가평자작나무글램핑,가평 가평자작나무글램핑,100,835,0,587,0,경기도 가평군 북면 화악산로 729-17,"숙박>캠핑,야영장",naver_search_api,http://jajaknamoo.co.kr/,2026-05-22T05:48:35+00:00
가평,affordable_stays,"안녕,오늘풀빌라펜션","가평 안녕,오늘풀빌라펜션",100,83,0,3,0,"경기도 가평군 청평면 호명리길 182 안녕,오늘 풀빌라 펜션",숙박>펜션,naver_search_api,https://www.안녕오늘풀빌라.com/,2026-05-22T05:48:35+00:00
가평,affordable_stays,디어먼데이 춘천남이섬 호텔정관루점,가평 디어먼데이 춘천남이섬 호텔정관루점,100,12,0,61,0,강원특별자치도 춘천시 남산면 방하리 198-1,"서비스,산업>장소대여",naver_search_api,,2026-05-22T05:48:35+00:00
가평,affordable_stays,봉봉게스트하우스,가평 봉봉게스트하우스,100,462,0,41,0,경기도 가평군 청평면 양진길 11-10,숙박>게스트하우스,naver_search_api,https://www.instagram.com/bongbongguesthaus,2026-05-22T05:48:35+00:00
가평,affordable_stays,취옹예술관,가평 취옹예술관,100,854,0,285,0,경기도 가평군 상면 수목원로 300,숙박>전통숙소,naver_search_api,https://site.onda.me/20419,2026-05-22T05:48:35+00:00
가평,affordable_stays,자라게스트하우스,가평 자라게스트하우스,100,1425,0,244,0,경기도 가평군 가평읍 호반로 2583,숙박>게스트하우스,naver_search_api,,2026-05-22T05:48:35+00:00
가평,affordable_stays,자라섬게스트하우스,가평 자라섬게스트하우스,100,11337,0,6066,0,경기도 가평군 가평읍 오리나무길 51 자라섬게스트하우스,숙박>게스트하우스,naver_search_api,http://www.jarasumguesthouse.com/,2026-05-22T05:48:35+00:00
가평,affordable_stays,에그하우스 가평점,가평 에그하우스 가평점,100,26,0,2,0,경기도 가평군 가평읍 가화로 55-9 2층,숙박>게스트하우스,naver_search_api,http://에그하우스.com/index.html,2026-05-22T05:48:35+00:00
가평,camping,트라움풀빌라글램핑&amp;카라반,가평 트라움풀빌라글램핑&amp;카라반,100,3024,0,866,0,경기도 가평군 상면 왕대벌길 60 트라움 풀빌라글램핑&카라반,"숙박>캠핑,야영장",naver_search_api,http://트라움풀글램핑.com,2026-05-22T05:48:35+00:00
가평,camping,새연 카라반 글램핑 현리1호점,가평 새연 카라반 글램핑 현리1호점,100,517,0,65,0,경기도 가평군 조종면 운악청계로333번길 86,"숙박>캠핑,야영장",naver_search_api,http://saeyeoncaravan.co.kr/?intro=OK,2026-05-22T05:48:35+00:00
가평,camping,가평명지산카라반글램핑,가평 가평명지산카라반글램핑,100,29795,0,29543,0,경기도 가평군 북면 가화로 2932-23 가평명지산카라반글램핑,"숙박>캠핑,야영장",naver_search_api,https://www.instagram.com/myeongjisan_glamping,2026-05-22T05:48:35+00:00
가평,camping,새연 카라반 글램핑 설악2호점,가평 새연 카라반 글램핑 설악2호점,100,428,0,54,0,경기도 가평군 설악면 유명로 1939 새연리조트 설악2호점,"숙박>캠핑,야영장",naver_search_api,http://www.새연리조트가평설악2호점.com,2026-05-22T05:48:35+00:00
가평,camping,바이올린 글램핑&amp;카라반,가평 바이올린 글램핑&amp;카라반,100,2143,0,12,0,경기도 가평군 가평읍 북한강변로 443 바이올린 글램핑,"숙박>캠핑,야영장",naver_search_api,http://www.violinglamping.co.kr/,2026-05-22T05:48:35+00:00
가평,camping,오로라키즈풀빌라,가평 오로라키즈풀빌라,100,1342,0,372,0,경기도 가평군 상면 임초밤안골로 306,숙박>펜션,naver_search_api,https://www.instagram.com/aurorakidspoolvilla,2026-05-22T05:48:35+00:00
가평,camping,자라섬캠핑장,가평 자라섬캠핑장,100,17556,0,5333,0,경기도 가평군 가평읍 자라섬로 60,"숙박>캠핑,야영장",naver_search_api,https://www.gpfmc.or.kr/,2026-05-22T05:48:35+00:00
가평,camping,산으로 간 니모,가평 산으로 간 니모,100,618,0,393,0,경기도 가평군 조종면 연인산로 670-321,"숙박>캠핑,야영장",naver_search_api,http://www.nemocamp.com/,2026-05-22T05:48:35+00:00
가평,camping,둥지캠핑장,가평 둥지캠핑장,100,583,0,825,0,경기도 가평군 설악면 묵안로 976-62 둥지캠핑장,숙박>펜션,naver_search_api,https://booking.naver.com/booking/3/bizes/486774,2026-05-22T05:48:35+00:00
가평,camping,삐삐키즈풀빌라&amp;카라반,가평 삐삐키즈풀빌라&amp;카라반,100,2115,0,1047,0,경기도 가평군 상면 임초밤안골로 115-45 삐삐키즈풀빌라 풀카라반,숙박>펜션,naver_search_api,http://삐삐키즈풀빌라.com/,2026-05-22T05:48:35+00:00
가평,desserts,델씨엘로 본점,가평 델씨엘로 본점,100,438,0,17,0,경기도 가평군 청평면 경춘로 1031 델씨엘로,음식점>피자,naver_search_api,https://www.tabling.co.kr/restaurant/4528,2026-05-22T05:48:35+00:00
